TokenAddress,Birdeye,Bitquery
4owDWnzjMZqtf7NJy4L6tqUMchQxFuSzoG2GpVc2rRNnbEBnZ1oCTX6mHWfmQm2kpMQUfqwLFrjKmN4r4EHqCNWH,true,true
5sWQv1cEjcNmKjqTmZvbSTd3Yms2iT6oaV6g1JxPb72tLqtzBSdQc8P2HgpxpNCzo8zfQxJncuDQMn3r8Tc6oyHe,true,true
kXk5yknqYSfYhtoWWvqTX3kTmLQ3pW5fGnsP2g2GG7Xa3JqRjSDiJn4k3zLbQAuutvyTmLGmLQYoxWV9gjuzQtK,true,true
5H4NcQFModcpG4y6QxzbfghpHMb9iqu6QGXByoRp3ox8hG7p9VpVTAUN2bsauUeztxW74H2aEcBFu7EtEjCmPEcx,true,true
3ehekJqhzwV8BMgTKqtbLiw6Twx1SCVJW1tVTMDaXyC6mWFXcdroTyn2dgj4JsBb4WiFKSyxEk4d4njGas3BqKhH,true,true
5cNLHzGMbiKgkjVZjKXHWfQNCGViHF8u1v4qUMmxCmhdboukVzZqJXrnH5vRJTKZeorVuYogenGHZq7xXdz5njAh,true,true
5Z8AU8t8UUX5LtbdaptXvAFBKwffuficnnNjxzNDMqikRSspLqxg3ngY7DozKsGMmTmXBRLXsabBCoXpVX7rNWBT,true,true
Ad5Phisdoa5nNHinDfs1pey121L4KP6JByMVDahiRhmnpb3dxg3tv6Mb3XP8RGyBqGCYaYrxebp4Dgu9EJFwonf,true,true
aEBi9ya74CKX57YgZiV6tKssEUmDW1wYjKuEGS6jnopsL79VCtVU6CMe8bqXBUzzYeFddNTP1exdvp9ev3SbeXj,true,
5f4ES6QSX6TpiLzzuWAFUSAd87xEdex2PAsybwwrGrVZFKSefDwJonsDh2PaQetkaYcgYchvQPBEKH2anD9U5eXq,true,
3Uvqp1LaFSnYJ6hAE98igPYXeeAMcPJFF9pbu5keY46Vp2j9rhRZBBcN8jdegHpuMGxPGcUVa9p3qiXJejxgxndd,true,true
53sR4BDWZf9DneNbLG2Ehw2Chnh21tKCk93jYhZ2b5ggSR1Y34tmp6dLEw96w4mXheZ8C45VtXE9As8aTus7WkDU,true,true
5RNYiSA9iAwbwqDunnNJjH6R2J6ZzgbMrn8qZpDLL1s4F6FpsxNFzgnoDpAyxSt2yMnUWKFDMd3ysvWaJq296UHq,true,true
2Ef1wxGeVcJYEDgvHRSboYT8wYJyfoD76gmYk2Fw3rJ9i5KtXmH1RNmbw3giYEhqTVnworv8y5KPBYpNfEGdmouG,true,
5WyMm9Qu1S5DEfy7RZpnALR5BKkj3895Ky7HJzGwfMUJwdJ2oe5aowWavHthToWjSoRyZDGRkAh2xsE2U2xaffW3,true,
2GTWukSerr4ETZyRYCGCQvuGHdCGQgwyBv8R76GJVn4bycDrJ7iZ6p2y7KgBJunjL8RkP5JVDZFMdPv9pHnedo5L,true,true
36cf1AXKBhooqbFUCNtpTG69AmqY2JXquKfjKyDxEdsftVYYrGqJCgk13vkHp2QUqdaBA7jYxKVgapw9JYng8kvN,true,true
4bzGUBKiWFFfLmRLCXPxRspvKM6KbCydVnu9ZAj15sjhU5VKjSQJBPBCESPeuvmjU9jwoXeSR5xDAaErxwR7Pkvj,true,true
4DRV6Xj4dUgR6fGdbdzVDC8WK4caLc46qnGGiVrPZj3CsimKbrtbpgXgnxH2a73vDcSwp34q3b9KLftNAcean6DZ,true,true
3QNN5YJ4Jw4JgoNi4LiiUKaFd9uGbHoA7avAqsGFN3LTqAdL6gLfKZGPAR8iYYunMSMZCZbANyWkAUsuFX137sQs,true,true
XqZZRHBuQHvdah7YY17AL5FzK2Qi3VS3pdXQzf9u5Q2m5hKbaiXP4xF1KHdC3cH8qTgCyBPMs5ohwbe9oM9PweZ,true,true
5vUGus7C1DCD18VVpv5Uy3aHGyUdZfX62AHKKZWAuK6pnGgm66AQZqKwx4aYGayUEvuhw3NbPdHGaHULen9sRtrc,true,true
4Z9RJy6TieTMA18gsK4pQp4mfknoVC92wv8RhW2EuX2D3D8e24JHGyaYQUUW5ZVGH6wMDL32njzjUn1HnWuaaME,true,true
4xKgBmWdf5cbrK5dJm6gCuG29pZbLdJcrSiz2d3QvMVekHDTPDpaK49BN3UMsaqHypoKfqDghrGfnr3ocTK12Xwh,true,true
