BlockTime,BirdeyeLatency,BitqueryLatency
1771496084,,3116
1771496088,5330,4303
1771496087,,2870
1771496094,1977,2698
1771496088,5331,
1771496089,,4320
1771496091,,3078
1771496096,1652,3146
1771496097,2379,3447
1771496092,,4156
1771496093,,3157
1771496094,,2699
1771496095,,2124
1771496096,,3278
1771496097,,3448
1771496098,,3370
1771496102,2401,3823
1771496099,,3087
1771496103,2430,3948
1771496106,2213,2516
1771496100,,4362
1771496107,1713,2510
1771496102,,4548
1771496103,,4072
1771496104,,3100
1771496105,,2542
1771496111,1982,2447
1771496106,,2725
1771496107,,2668
1771496108,,2921
1771496109,,2165
1771496110,,2419
1771496111,,2994
1771496112,,3350
1771496113,,2506
1771496114,,3561
1771496119,3112,3326
1771496115,,3239
1771496121,1977,2666
1771496117,,2966
1771496118,,2630
1771496119,,3518
1771496120,,3300
1771496121,,2962
1771496122,,3501
1771496123,,2645
1771496124,,3307
1771496129,3269,3532
1771496125,,3229
1771496126,,3389
1771496127,,3493
1771496128,,2778
1771496129,,3533
1771496132,,2731
1771496137,3179,2702
1771496136,,2509
1771496140,3655,2986
1771496141,2656,3078
1771496137,,3265
1771496138,,2390
1771496139,,2826
1771496144,3479,3069
1771496144,3479,3700
1771496140,,3709
1771496141,,3470
1771496142,,3137
1771496147,2825,2120
1771496148,2437,3478
1771496143,,3696
1771496144,,3855
1771496145,,2995
1771496146,2485,
1771496147,,2876
1771496153,1812,2529
1771496148,,3479
1771496149,,3605
1771496151,,2639
1771496152,,2683
1771496153,,2571
1771496157,2828,3090
1771496154,,2391
1771496155,,2366
1771496157,,3102
1771496162,2125,3287
1771496158,,4430
1771496161,,3012
1771496167,1880,2962
1771496163,,3940
1771496164,,2974
1771496165,,2471
1771496166,,3415
1771496167,,3151
1771496168,2780,
1771496169,,2952
1771496170,,2904
1771496171,,3478
1771496173,,2707
1771496178,2495,3584
1771496175,,2285
1771496176,,4234
1771496177,,3435
1771496182,2386,3616
1771496183,2380,3250
1771496178,,3718
1771496179,,3699
1771496180,,3298
1771496182,,3898
1771496183,,3331
1771496185,,3050
1771496186,,3139
1771496187,,2732
1771496188,,2809
1771496190,,3000
1771496191,,2543
1771496196,3043,3044
1771496193,,3114
1771496194,,2888
1771496196,,3058
1771496197,,3011
1771496198,,3433
1771496199,,3469
1771496200,,3684
1771496201,,2929
1771496202,,3288
1771496203,,2747
1771496209,1969,2648
1771496205,,2769
1771496206,,2551
1771496208,,3137
1771496213,2198,3048
1771496209,,2698
1771496211,,2391
1771496216,2240,3386
1771496212,,3088
1771496213,,3196
1771496214,,3136
1771496215,,2873
1771496221,1526,2278
1771496216,,3386
1771496217,,2878
1771496219,,3009
1771496224,1616,3232
1771496221,,2279
1771496222,,3613
1771496223,,3246
1771496224,,3375
1771496225,,2786
1771496226,,2916
1771496227,,2557
1771496230,5941,3000
1771496231,4943,3184
1771496229,,3407
1771496233,2943,3776
1771496226,9801,
1771496231,4943,
1771496232,3943,
1771496233,,3794
1771496234,,3583
1771496236,,2738
1771496237,,3225
1771496238,,3198
1771496239,,2586
1771496241,,4473
1771496247,1724,3331
1771496244,,3052
1771496246,,2565
1771496247,,3436
1771496248,,3082
1771496254,1281,2451
1771496249,,3529
1771496255,1347,2360
1771496250,,2850
1771496251,,2940
1771496252,,2626
1771496253,,3215
1771496254,,2831
1771496255,,2361
1771496259,,3347
1771496260,,3325
1771496261,,2414
1771496267,1879,3464
1771496262,,3771
1771496263,,3597
1771496264,,3342
1771496265,,3417
1771496266,,3197
1771496267,,3604
1771496270,3733,4846
1771496268,,4285
1771496270,,4847
1771496272,,4437
1771496273,,3438
1771496279,2284,2501
1771496274,,3860
1771496275,,3865
1771496276,,3127
1771496277,,3738
1771496278,,3217
1771496279,,2975
1771496280,,3110
1771496281,,2622
1771496282,,2868
1771496283,,3903
1771496284,,3570
1771496290,2296,3341
1771496286,,2972
1771496291,2106,4043
1771496288,,3050
1771496290,,3367
1771496295,1436,3220
1771496296,2278,3381
1771496291,,4071
1771496292,,3486
1771496293,,3541
1771496294,,3855
1771496295,,3543
1771496296,,3443
1771496297,,2557
1771496302,2465,2395
1771496302,3896,3883
1771496303,2897,2900
1771496299,,3169
1771496300,,2914
1771496302,,3897
1771496303,,3063
1771496304,,3021
1771496310,1327,2566
1771496305,,3032
1771496306,,2590
1771496307,,2734
1771496312,2136,2688
1771496308,,2338
1771496309,,3442
1771496310,,2790
1771496311,,3108
1771496312,,3034
1771496317,1881,2832
1771496313,,3141
1771496318,1820,3441
1771496314,,2968
1771496316,,2975
1771496317,,2934
1771496318,,3583
1771496324,2545,2736
1771496319,,2934
1771496321,,2316
1771496325,2179,3228
1771496322,1931,
1771496327,2256,3489
1771496323,,3615
1771496324,,2801
1771496325,,3243
1771496326,,2542
1771496330,1855,3240
1771496327,,3606
1771496328,,2881
1771496329,,2246
1771496330,,3349
1771496334,2689,3901
1771496331,,3026
1771496332,,3490
1771496337,2148,2996
1771496333,,3955
1771496334,,3992
1771496335,,3575
1771496340,1737,3296
1771496337,,3035
1771496338,,3460
1771496340,,3398
1771496341,,3300
1771496343,,3444
1771496345,,2776
1771496346,,3417
1771496348,,2912
1771496350,,3397
1771496351,,3037
1771496353,,3379
1771496354,,3211
1771496357,5591,3528
1771496355,,3726
1771496360,2805,2393
1771496356,,3123
1771496358,,2530
1771496359,,2331
1771496364,1593,1819
1771496360,,3037
1771496361,,2793
1771496363,,2479
1771496364,,1905
1771496366,,2371
1771496367,,2793
1771496368,,2111
1771496369,,2435
1771496370,,2561
1771496371,,2392
1771496372,,3324
1771496373,,2652
1771496375,,3682
1771496377,7244,3547
1771496379,,3902
1771496370,14091,
1771496371,13235,
1771496373,11235,
1771496377,7245,
1771496381,,2988
1771496382,,3383
1771496387,1707,3208
1771496383,,3343
1771496389,2270,2574
1771496384,,3527
1771496385,,3345
1771496386,,3248
1771496389,,2770
1771496393,2365,2898
1771496391,,2805
1771496393,,3103
1771496394,,2828
1771496399,1440,2486
1771496395,,2750
1771496396,,2976
1771496397,,3098
1771496398,,2729
1771496399,,2614
1771496400,,3307
1771496401,,3019
1771496402,,3351
1771496403,,3322
1771496404,,3014
1771496405,,3248
1771496406,,3744
1771496411,2088,3281
1771496407,,3534
1771496408,,4409
1771496409,,3976
1771496410,,3496
1771496411,,3350
1771496412,,3088
1771496413,,2689
