BucketSecond,WebsocketLatency,KafkaLatency
1770899305,,
1770899306,,
1770899307,,
1770899308,,
1770899309,,
1770899310,,
1770899312,,2934
1770899313,,3980
1770899314,,
1770899316,,
1770899317,,2117
1770899318,,2289
1770899319,,
1770899320,,
1770899314,,9353
1770899321,,3781
1770899322,,
1770899324,,
1770899325,,2806
1770899326,,6286
1770899328,,1747
1770899329,,
1770899331,,2222
1770899332,,
1770899333,,1888
1770899334,,
1770899335,,
1770899336,,
1770899337,,6497
1770899338,,
1770899339,,4508
1770899316,,25895
1770899318,,23862
1770899320,,21879
1770899321,,20925
1770899340,,1954
1770899341,,
1770899342,,2399
1770899343,,2190
1770899332,,13821
1770899344,,
1770899345,,
1770899346,,2007
1770899348,,
1770899350,,5838
1770899351,,
1770899352,,
1770899338,,16268
1770899353,,
1770899354,,
1770899355,,
1770899356,,
1770899345,,13107
1770899357,,
1770899322,,38819
1770899324,,36822
1770899325,,35806
1770899328,,32796
1770899329,,31799
1770899350,,10752
1770899358,,
1770899360,,
1770899361,,
1770899362,,
1770899363,,
1770899322,,38819
1770899324,,36822
1770899325,,35806
1770899328,,32796
1770899329,,31799
1770899350,,10752
1770899358,,
1770899360,,
1770899361,,
1770899362,,
1770899363,,
1770899322,,38819
1770899324,,36822
1770899325,,35806
1770899328,,32796
1770899329,,31799
1770899350,,10752
1770899358,,
1770899360,,
1770899361,,
1770899362,,
1770899363,,
1770899364,,
1770899365,,
